"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"TQX2K4-ISEPG-JXXBBD","ODDQBE-PDUAE-N33TVS","XXMRZUSD","2021-03-15 23:36:35.9912","buy","market",223.89489203,240.07960000,0.62420696,1.07228708,0.00000000,"","LQI62R-64JTC-GN7HOE,LDLWIR-QF3MQ-TIZNRH"
"TGZSWN-EMFML-BIT7DK","OSLFHK-OB43D-GD655H","USDCUSD","2021-09-25 00:08:01.8603","sell","market",0.99990000,493.01314675,0.98602629,493.06245300,0.00000000,"","LCBN3Q-F2KYR-E75EKX,LCEHQG-SPAJR-RMSGPZ"
"TTB26P-M6RFK-JYYMR2","O5JT75-A6WBH-OJCLFY","XXMRZUSD","2021-09-25 00:08:55.2309","buy","market",235.17000000,492.02000012,1.27925200,2.09218863,0.00000000,"","L7HL5J-JTY7N-KAA7P7,L4SG6X-VXL4A-S3YGJC"
"TCQQZC-OVYLJ-ZYJSOX","OIJUCT-IEUVS-LBYCN5","XXMRZUSD","2021-09-28 23:29:45.4428","sell","market",231.69000000,483.48051386,1.25704934,2.08675607,0.00000000,"","L46S3P-2FRTE-7YJMRD,LEXDPP-EUO3U-IBXPEV"
"TJIU4H-TOJXO-5ABIBG","O3XQ4L-ICOJB-OB3XQ5","XETHZUSD","2021-09-28 23:30:22.2079","buy","market",2839.42000,482.23000,1.25380,0.16983398,0.00000,"","L2W5E7-6IO7S-J3MDEC,LFMBQX-GO7VU-LRCEXQ"
"T52F3R-JYQ6S-LS4LMF","OIL6ZS-HEDZN-RQF5AR","XETHZUSD","2021-10-01 16:35:34.6082","buy","market",3253.74892,2200.00001,5.72001,0.67614314,0.00000,"","L6YN4S-QRFHO-BT2NMZ,LG6GF2-OA7U2-T2B56K"
"TF5JAB-CUFOJ-VDVXMW","OSWDDS-LLCTY-DVMB65","ADAETH","2021-10-06 20:40:58.5204","sell","market",0.000622000,0.933000000,0.002425800,1500.00000004,0.000000000,"","LBJYCG-BC5GV-42B7UL,L4PLKV-ZDRAF-5PIGC5"
"T6B4Q4-JEIAN-SBB7HU","ORYQXV-7OVYG-PCRW6T","XETHZUSD","2021-10-15 17:22:04.5411","buy","market",3860.00999,2500.00001,6.50000,0.64766672,0.00000,"","LDVZPI-PCYOQ-JQN65Z,LKRJZZ-XMK7Z-7EFFAO"
"T6SOFX-4Y3IP-44WU4Y","OCESPV-DJZ6Z-HRNXZ3","XETHZUSD","2021-10-29 17:30:16.864","buy","market",4432.77000,2800.00000,7.28000,0.63165921,0.00000,"","LS3B6P-CUECU-JFDF6B,LZDFRK-JX5FO-RNFM2C"
"TRB5YH-5VSYG-SWV7VZ","ORTMJQ-D6GHS-IXNOEJ","XETHZUSD","2021-11-12 16:27:01.0203","buy","market",4551.32000,2999.99985,7.80000,0.65914940,0.00000,"","LGB7QV-IM7IJ-ZFIAAM,L4TZLR-BL2MX-A5DDV3"
"TTI36T-34IRT-ORKHYW","OVU5ZN-JP6TG-FAA5X3","XETHZUSD","2021-11-26 17:51:21.0356","buy","market",4089.27329,2799.69229,7.27920,0.68464299,0.00000,"","LUGKVS-WMAKR-ZLC46V,LFLAAV-WSSTQ-KI36K3"
"T73XYV-5LQFO-NX4RTH","OJMMF5-RG5QV-IYPDBD","USDTZUSD","2021-12-10 18:58:32.401","buy","market",1.00040000,2800.30850000,5.60061700,2799.18882447,0.00000000,"","LCWTI4-EEVDO-DT6PNG,LKVO7R-QPK5F-O6JJCF"
